,image,Text,confidenceOCR
108,images/Cropped Image109.jpg,0700,0.9540663957595825
109,images/Cropped Image108.jpg,Ever foaward,0.5347041965915297
110,images/Cropped Image111.jpg,hong Kong,0.6260476407206543
111,images/Cropped Image112.jpg,OcLa,0.04919351637363434
112,images/Cropped Image113.jpg,Cocho,0.023431584427182118
113,images/Cropped Image114.jpg,coole,0.015893493171225428
114,images/Cropped Image115.jpg,Epja,0.07520239800214767
115,images/Cropped Image116.jpg,Epja,0.08168215304613113
116,images/Cropped Image117.jpg,659,0.9998109387037398
117,images/Cropped Image118.jpg,DocatoM Qa0t,0.12511260341738276
118,images/Cropped Image119.jpg,)lppu,0.040806086253384805
119,images/Cropped Image120.jpg,ApKtwka,0.19310899465860198
120,images/Cropped Image121.jpg,POcatOMpdt,0.12368740425544003
121,images/Cropped Image122.jpg,Doc,0.35980430889339554
122,images/Cropped Image123.jpg,POChTONPAOt,0.13207980613795905
123,images/Cropped Image124.jpg,Poc,0.3006271996811164
124,images/Cropped Image125.jpg,IpKtwka,0.02263138234823993
125,images/Cropped Image126.jpg,)iplmu,0.11042764056928414
126,images/Cropped Image127.jpg,POcATOMPAOT,0.1351106949647734
127,images/Cropped Image128.jpg,PocATQM Q AOT,0.12494865422388693
128,images/Cropped Image129.jpg,Trrtwka,0.04316713631061582
129,images/Cropped Image130.jpg,A,0.012838123194791662
130,images/Cropped Image131.jpg,[gilod,0.03363699056977565
131,images/Cropped Image133.jpg,[ci4ob,0.09910498309831536
132,images/Cropped Image132.jpg,368,0.9995949040107689
133,images/Cropped Image135.jpg,868,0.37270533001657274
134,images/Cropped Image134.jpg,MHHH,0.23366130888462067
135,images/Cropped Image136.jpg,168,0.61129617203204
136,images/Cropped Image137.jpg,368,0.9996932509817066
137,images/Cropped Image138.jpg,222<,0.34506627917289734
138,images/Cropped Image139.jpg,RERAYK;,0.4176116016892729
139,images/Cropped Image140.jpg,ECCU,0.8834027647972107
140,images/Cropped Image141.jpg,Jviss03,0.24608904561342262
141,images/Cropped Image142.jpg,ECCU,0.9280353784561157
142,images/Cropped Image143.jpg,Jvss03,0.2815723955473909
143,images/Cropped Image144.jpg,Zero,0.8865470886230469
144,images/Cropped Image145.jpg,Yara,0.437543400983111
145,images/Cropped Image148.jpg,Emalssion,0.3804989707168749
146,images/Cropped Image146.jpg,Blrkeland,0.9754665939078
147,images/Cropped Image147.jpg,~Jp.2509,0.3957604362921851
148,images/Cropped Image149.jpg,F,0.005698963632506937
149,images/Cropped Image150.jpg,H,0.6024534942034201
150,images/Cropped Image151.jpg,nonap,0.8196034849888975
151,images/Cropped Image152.jpg,Kvhr,0.30462446808815
152,images/Cropped Image154.jpg,nonap,0.8361689832366999
153,images/Cropped Image153.jpg,KVhr,0.21183520555496216
154,images/Cropped Image155.jpg,Tarrif,0.16906808313644328
155,images/Cropped Image156.jpg,Tagrmf,0.2541915969421999
156,images/Cropped Image157.jpg,nonap,0.7835869802445202
157,images/Cropped Image158.jpg,Kvhr,0.24019266664981842
158,images/Cropped Image159.jpg,TPVEVH,0.5589520125412542
159,images/Cropped Image161.jpg,HhXEHEP ,0.25757211609972147
160,images/Cropped Image160.jpg,Pacific,0.8526126830868735
161,images/Cropped Image162.jpg,Tacik,0.01632841185879568
162,images/Cropped Image163.jpg,Fresponder,0.12257548766878502
163,images/Cropped Image165.jpg,RScD,0.1375848948955536
164,images/Cropped Image164.jpg,099,0.9999298671292889
165,images/Cropped Image166.jpg,099,0.9982852029128526
166,images/Cropped Image167.jpg,099,0.9997943521931303
167,images/Cropped Image168.jpg,No SMoking,0.45474670675570444
168,images/Cropped Image169.jpg,AFETY FiRsT,0.5108059551108015
169,images/Cropped Image171.jpg,sti CLAPHAN,0.3963513511555436
170,images/Cropped Image170.jpg,N0 SMoking,0.4657016699760735
171,images/Cropped Image172.jpg,IAFETY FiRST,0.20750505946234019
172,images/Cropped Image173.jpg,No Naked FLame And,0.24307627055259642
173,images/Cropped Image174.jpg,SSI ERDOGAN BEY,0.8639858964615221
174,images/Cropped Image175.jpg,Meb,0.08055877146840583
175,images/Cropped Image176.jpg,OKIANA,0.9943596631987068
176,images/Cropped Image177.jpg,2  0,0.6077145225191067
177,images/Cropped Image178.jpg,Saba VELA,0.19005502638011576
178,images/Cropped Image179.jpg,MOLESON,0.9484514131269323
179,images/Cropped Image180.jpg,basel,0.6791350032598682
180,images/Cropped Image181.jpg,303470Dr,0.006931686222145628
181,images/Cropped Image182.jpg,MOLESON,0.9156688836804556
182,images/Cropped Image183.jpg,AAGE,0.05944017320871353
183,images/Cropped Image185.jpg,MOLESON,0.9744160797228685
184,images/Cropped Image184.jpg,basel,0.84589840141647
185,images/Cropped Image186.jpg,Caene,0.00041826232312754195
186,images/Cropped Image187.jpg,MOLESON,0.9772943645214865
187,images/Cropped Image189.jpg,basel,0.931090179405579
188,images/Cropped Image188.jpg,Aena,0.0027025730814784765
189,images/Cropped Image190.jpg,TEAL BULKER ,0.6809040541009685
190,images/Cropped Image191.jpg,LAVRITZEU,0.3392597381238121
191,images/Cropped Image192.jpg,LAVRITZEU,0.352116076286184
