created_at,user_name,description,user_location,text,language,hashtags,media_url,place
2015-09-14 08:52:04+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on UK cargo ships - why not? We can manage on a turnkey basis. Please help! #maritime #maritimenation http://t.co/yZr2qZtGZQ,en,"['maritime', 'maritimenation']",['https://pbs.twimg.com/media/COh539AWwAAhBPZ.jpg'],
2015-09-12 11:56:36+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",My best RTs this week came from: @brocknoland @AlessandroSanos #thankSAll Who were yours? http://t.co/k5pOseLpHl http://t.co/uYpoH7idQK,en,['thankSAll'],['https://pbs.twimg.com/media/COs3QXGU8AED9Bw.png'],
2015-09-10 08:51:54+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",Passengers on UK cargo ships - why not? We can manage on a turnkey basis. Please help! #maritime #maritimenation http://t.co/rvTf9VGDye,en,"['maritime', 'maritimenation']",['https://pbs.twimg.com/media/COh5n7QWcAEL-aB.jpg'],
2015-09-10 08:42:55+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pNWdsv  - Purveyors of sea travel! #flightlesstravel #freightertravel http://t.co/2En2x48vkj,en,"['flightlesstravel', 'freightertravel']",['https://pbs.twimg.com/media/COh3tIVW8AEgdrV.jpg'],
2015-07-24 16:08:05+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","USA Panama Far East circular dep. Savannah 70 Nights 1st voyage 11 August see website
#freighters #seavoyages http://t.co/P3hI2jFiHA",en,"['freighters', 'seavoyages']",['https://pbs.twimg.com/media/CKNXwZ1UMAA1noI.jpg'],
2015-07-20 08:28:01+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",'Conti Elektra' has an updated itinerary now including Curacao on 14 day circuit; see website #freghtertravel #travel http://t.co/MW0C6y1YdR,en,"['freghtertravel', 'travel']",['https://pbs.twimg.com/media/CKNXQsWUYAAnV97.jpg'],
2015-07-18 15:26:30+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",'Conti Paris' adds new route from Trieste 12 Aug details on our website #flightlesstravel #freighters #seatravel http://t.co/iJNNe02pk3,en,"['flightlesstravel', 'freighters', 'seatravel']",['https://pbs.twimg.com/media/CKNNooyUcAIaPz1.jpg'],
2015-07-17 17:45:07+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3 - Purveyors of sea travel since 1993. #seatravel #cruises http://t.co/cVPyza3dlL,en,"['seatravel', 'cruises']",['https://pbs.twimg.com/media/CJYybzQUkAAH5Im.jpg'],
2015-07-15 11:03:05+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3 - Purveyors of sea travel since 1993. http://t.co/TIgtSHffdj,en,,['https://pbs.twimg.com/media/CJYyJwgUkAAP3BH.jpg'],
2015-07-12 03:00:05+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3 - Purveyors of sea travel since 1993. #cruise #travel http://t.co/wmxnzcuOXR,en,"['cruise', 'travel']",['https://pbs.twimg.com/media/CJYx4xOUsAEzuQE.jpg'],
2015-07-11 09:56:04+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","For voyage inspiration see http://t.co/io30pOdOk3 - Travel the world your way!
#seavoyages #travel #cargo http://t.co/gp4GfPDKmi",en,"['seavoyages', 'travel', 'cargo']",['https://pbs.twimg.com/media/CJYuFKeUYAAQLBz.jpg'],
2015-07-10 07:45:03+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3 - Travel the world your way! #flightlesstravel #freightercruises http://t.co/Ztz7v5l371,en,"['flightlesstravel', 'freightercruises']",['https://pbs.twimg.com/media/CJYtt84UMAA-0vq.jpg'],
2015-07-09 16:38:06+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pOdOk3 - Purveyors of sea travel! #freighters #flightlesstravel #travel http://t.co/2GrvhTqfpt,en,"['freighters', 'flightlesstravel', 'travel']",['https://pbs.twimg.com/media/CJYs63dUMAAXvQt.jpg'],
2015-07-08 11:05:03+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","For voyage inspiration check out http://t.co/io30pOdOk3 - Purveyors of sea travel!
#freightervoyages #cargoships http://t.co/U76PVUKDTM",en,"['freightervoyages', 'cargoships']",['https://pbs.twimg.com/media/CJYr5KKUsAA6kzJ.jpg'],
2015-07-08 10:58:56+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",For voyage inspiration see http://t.co/io30pNWdsv - Purveyors of sea travel since 1993. http://t.co/XFhS8jX2yE,en,,['https://pbs.twimg.com/media/CJYxF7aUkAA34IQ.jpg'],
2015-07-02 09:05:38+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","USA/Europe Chester 21/07 &amp; 18/08, Wilmington 24/07 &amp; 21/08 to Antwerp double &amp; single now available #cargoshipvoyages http://t.co/79uUoY2xZw",en,['cargoshipvoyages'],['https://pbs.twimg.com/media/CI5dqGGW8AAn2M5.jpg'],
2015-06-02 11:42:45+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","LATE AVAILABILITY MSC ILONA
Europe to USA ports on 24 June double cabin #cargoshipvoyages #travel #freightertravel http://t.co/YmYTDcHh2e",ro,"['cargoshipvoyages', 'travel', 'freightertravel']",['https://pbs.twimg.com/media/CGfh7AdW0AAJ4U8.jpg'],
2015-06-02 11:38:06+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",LATE AVAILABILITY MSC FLAMINIA Genoa - New York/East Coast ports 23rd June double cabin #cargoshipvoyages #travel http://t.co/yajXZA0oOq,ro,"['cargoshipvoyages', 'travel']",['https://pbs.twimg.com/media/CGfg2zXWQAAEBTT.jpg'],
2015-02-09 11:19:07+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK",+ LATE AVAILABILITY + USA-Malta-Far East-USA + Departs New York 28/04/15 #freightertravel #cargoshipvoyages #travel http://t.co/ugnSL2QcC0,en,"['freightertravel', 'cargoshipvoyages', 'travel']",['https://pbs.twimg.com/media/B9Zg277IEAA5_Bb.jpg'],
2015-02-09 11:14:31+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","+ LATE AVAILABILITY + USA-Europe + Departs 21/03/15 from Houston +
MSC Ilona #freightertravel #cargoshipvoyages http://t.co/9LlsJCq2Z7",ro,"['freightertravel', 'cargoshipvoyages']",['https://pbs.twimg.com/media/B9Zfz08IQAAZawv.jpg'],
2015-02-09 11:10:49+00:00,CargoShipVoyage,"Purveyors of sea travel since 1993, we are worldwide booking agents for passengers on cargo ships. Licensed UK travel agent TTA Member Q1569.","Cowes, UK","+ LATE AVAILABILITY + USA/SPAIN/ITALY + Departs Boston 24/02/15 +
MSC Flaminia #freightertravel #cargoshipvoyages http://t.co/7caZQGsi4k",en,"['freightertravel', 'cargoshipvoyages']",['https://pbs.twimg.com/media/B9Ze9aIIcAIh2i7.jpg'],
